"","resRA","rrr","Vmag","SAO"
"7284",19.18975,40.42916667,6.18,48168
"7285",19.20955556,16.84638889,6.73,104602
"7286",19.21019444,21.55444444,5.93,86930
"7287",19.22852778,2.293611111,5.15,124408
"7288",19.22891667,5.515833333,6.49,124410
"7289",19.27269444,-45.46638889,5.4,229584
"7290",19.16272222,65.97861111,6.25,18187
"7291",19.25922222,-24.17916667,6.25,187883
"7292",19.259,-25.25666667,4.85,187882
"7293",19.20127778,49.85416667,6.75,48192
"7294",19.20138889,49.85611111,6.57,48193
"7295",19.19458333,56.85916667,5.12,31468
"7296",19.27577778,-33.52166667,6.25,211117
"7297",19.30261111,-53.38666667,6.38,246017
"7298",19.22930556,39.14611111,4.39,68010
"7299",19.25072222,20.20333333,6,86981
"7300",19.25558333,15.08361111,5.57,104655
"7301",19.25483333,21.23222222,5.64,86987
"7302",19.25688889,30.52638889,5.85,68040
"7303",19.27527778,4.834722222,5.59,124455
"7304",19.29391667,-18.95305556,4.96,162413
"7305",19.26583333,27.45555556,6.54,87005
"7306",19.27027778,21.39027778,4.77,87010
"7307",19.27411111,14.54472222,5.63,104668
"7308",19.2665,27.92694444,6.16,87008
"7309",19.232,57.705,4.99,31497
"7310",19.20925,67.66166667,3.07,18222
"7311",19.25536111,50.07083333,6.27,48247
"7312",19.15272222,76.56055556,5.13,9341
"7313",19.29672222,2.031666667,6.19,124478
"7314",19.27280556,38.13361111,4.36,68065
"7315",19.29694444,11.59527778,5.28,104691
"7316",19.32777778,-35.42138889,5.59,211175
"7317",19.31669444,-15.53638889,6.06,162462
"7318",19.29544444,23.02555556,5.43,87036
"7319",19.30902778,1.085277778,5.1,124487
"7320",19.4015,-68.37111111,6.34,254551
"7321",19.31413889,0.339166667,6.41,124492
"7322",19.28094444,46.99916667,6,48278
"7323",19.34061111,-31.81777778,6.58,211191
"7324",19.30022222,31.02222222,6.68,68095
"7325",19.31463889,9.618055556,6.32,124497
"7326",19.31347222,19.61055556,6.58,104711
"7327",19.34391667,-22.4025,5.58,187992
"7328",19.28505556,53.36861111,3.77,31537
"7329",19.38086111,-54.42361111,5.05,246055
"7330",19.35830556,-34.98388889,6.48,211206
"7331",19.32758333,12.37472222,5.53,104722
"7332",19.33138889,11.535,6.02,104728
"7333",19.34247222,-5.415833333,5.01,143286
"7334",19.36933333,-42.01611111,6.34,229643
"7335",19.31772222,33.38888889,6.6,68125
"7336",19.34325,-0.892222222,5.49,143292
"7337",19.37730556,-44.45888889,4.01,229646
"7338",19.317,37.44527778,6.22,68129
"7339",19.36030556,-19.23416667,6.26,162511
"7340",19.36122222,-17.84722222,3.93,162512
"7341",19.31047222,49.56972222,6.31,48315
"7342",19.36211111,-15.955,4.61,162518
"7343",19.387,-44.79972222,4.29,229654
"7344",19.36413889,-18.30833333,5.87,162521
"7345",19.32747222,37.33055556,6.31,68144
"7346",19.34252778,35.18611111,6.31,68164
"7347",19.37241667,-8.201111111,6.31,143321
"7348",19.39811111,-40.61611111,3.97,229659
"7349",19.37263889,-0.2525,5.83,143324
"7350",19.40594444,-43.72305556,6.17,229660
"7351",19.32680556,54.37611111,6.26,31574
"7352",19.25916667,73.35555556,4.45,9366
"7353",19.38461111,-7.400277778,6.32,143340
"7354",19.38011111,9.913055556,6.35,124564
"7355",19.40836111,-27.86555556,6.04,188079
"7356",19.33780556,57.64527778,5.91,31587
"7357",19.38561111,14.92111111,6.64,104779
"7358",19.38080556,26.2625,5.18,87136
"7359",19.37594444,33.51805556,6.06,68215
"7360",19.41780556,-29.30916667,5.93,188093
"7361",19.32947222,64.39083333,6.52,18287
"7362",19.42125,-24.50861111,5.03,188101
"7363",19.42491667,-23.96222222,5.43,188105
"7364",19.39636111,20.26444444,6.4,87148
"7365",19.35705556,57.76694444,6.43,31604
"7366",19.41711111,-4.884166667,6.52,143373
"7367",19.42266667,-13.89694444,5.69,162595
"7368",19.39277778,33.22222222,6.37,68239
"7369",19.40613889,16.93777778,6.25,104797
"7370",19.46336111,-54.32527778,5.69,246110
"7371",19.34447222,65.71472222,4.59,18299
"7372",19.40211111,29.62138889,4.97,87159
"7373",19.41616667,11.94444444,5.16,104807
"7374",19.40622222,28.08777778,6.53,87165
"7375",19.43866667,-21.77666667,5.59,188121
"7376",19.40169444,36.45194444,6.36,68258
"7377",19.42497222,3.114722222,3.36,124603
"7378",19.43641667,-15.05305556,5.72,162609
"7379",19.44016667,-14.55111111,6.7,162615
"7380",19.44902778,-29.74333333,5.67,188127
"7381",19.38994444,50.27138889,6.51,31623
"7382",19.39902778,43.38805556,5.84,48401
"7383",19.51969444,-68.43388889,5.96,254590
"7384",19.42288889,20.27138889,6.31,87186
"7385",19.42461111,19.79861111,5.16,104818
"7386",19.42383333,24.91277778,6.19,87190
"7387",19.44197222,0.338611111,4.66,124628
"7388",19.49794444,-55.44138889,6.13,246125
"7389",19.44002778,13.02388889,5.74,104832
"7390",19.437,20.09777778,5.63,104831
"7391",19.44130556,19.89138889,5.81,104839
"7392",19.48997222,-43.44583333,5.71,229712
"7393",19.50958333,-55.11,6.3,246131
"7394",17.28244444,89.03777778,6.38,3020
"7395",19.43586111,36.31777778,5.15,68301
"7396",19.45941667,14.2825,6.32,104862
"7397",19.47244444,2.930277778,5.85,124661
"7398",19.49783333,-26.98555556,5.52,188192
"7399",19.50408333,-32.09222222,6.6,211315
"7400",19.48361111,1.950277778,5.8,124675
"7401",19.42963889,58.02722222,6.6,31652
"7402",19.48930556,-7.043888889,6.61,143454
"7403",19.46013889,37.94111111,6.34,68346
"7404",19.48833333,0.246111111,6.25,124681
"7405",19.47841667,24.665,4.44,87261
"7406",19.4825,24.76861111,5.81,87267
"7407",19.48947222,14.59583333,5.56,104896
"7408",19.45719444,52.32055556,5.75,31673
"7409",19.48913889,20.27972222,6.33,87269
"7410",19.515,-21.31222222,6.13,188219
"7411",19.54827778,-53.18583333,5.75,246151
"7412",19.50291667,2.904166667,6.09,124698
"7413",19.44069444,62.55722222,6.38,18343
"7414",19.51105556,-2.788888889,5.03,143482
"7415",19.50919444,3.444444444,6.05,124704
"7416",19.556,-45.27194444,5.61,229741
"7417",19.51202778,27.95972222,3.08,87301
"7418",19.51258333,27.96527778,5.11,87302
"7419",19.51302778,36.22861111,6.25,68417
"7420",19.49508333,51.72972222,3.79,31702
"7421",19.52272222,26.61722222,5.87,87314
"7422",19.56902778,-40.03472222,5.89,229746
"7423",19.36116667,79.60277778,6.05,9414
"7424",19.58694444,-48.09916667,4.9,229751
"7425",19.25216667,83.46277778,6.53,3209
"7426",19.52952778,34.45305556,4.74,68447
"7427",19.52202778,50.30666667,5.53,31737
"7428",19.52044444,55.73194444,6.37,31741
"7429",19.56816667,7.378888889,4.45,124799
"7430",19.58536111,-10.56027778,5.12,162792
"7431",19.60047222,-24.71916667,5.65,188326
"7432",19.59161111,-7.460277778,6.34,143564
"7433",19.59266667,-12.25277778,6.27,162797
"7434",19.64052778,-57.98333333,6.18,246188
"7435",19.66447222,-66.68555556,6.39,254622
"7436",19.56011111,38.76222222,6.61,68499
"7437",19.57636111,19.77333333,5,104990
"7438",19.59033333,2.913333333,6.38,124823
"7439",19.60725,-18.85277778,6.11,162809
"7440",19.61177778,-24.88361111,4.6,188337
"7441",19.58080556,29.46305556,5.38,87385
"7442",19.56155556,49.2625,5.96,48589
"7443",19.61758333,-18.23111111,5.64,162816
"7444",19.57811111,42.41277778,5.35,48601
"7445",19.60222222,11.15,6.68,105032
"7446",19.61486111,-7.0275,4.95,143600
"7447",19.61202778,-1.286388889,4.36,143597
"7448",19.55280556,60.15861111,6.29,18395
"7449",19.60438889,14.39166667,6.38,105036
"7450",19.51672222,70.98944444,6.07,9447
"7451",19.57216667,51.23666667,5.73,31782
"7452",19.60230556,22.58583333,6.32,87426
"7453",19.57775,48.16472222,6.67,48606
"7454",19.62622222,-14.30166667,5.47,162827
"7455",19.69375,-65.85416667,6.09,254627
"7456",19.61458333,11.27333333,5.98,105045
"7457",19.59675,36.94444444,6.05,68552
"7458",19.61047222,20.33277778,7.14,87447
"7459",19.67175,-54.4175,6.26,246204
"7460",19.62980556,-4.6475,5.46,143621
"7461",19.66166667,-45.27805556,6.25,229800
"7462",19.53933333,69.66111111,4.68,18396
"7463",19.6215,16.46277778,5.66,105061
"7464",19.66547222,-39.43333333,6.61,211451
"7465",19.59886111,50.23861111,6.52,31804
"7466",19.61927778,29.33361111,6.43,87462
"7467",19.61572222,38.38388889,6.5,68585
"7468",19.61052778,44.695,5.17,48649
"7469",19.60736111,50.22111111,4.48,31815
"7470",19.66372222,-23.42777778,6.34,188407
"7471",19.64694444,3.381666667,6.35,124892
"7472",19.63819444,20.78277778,6.48,87489
"7473",19.66863889,-23.42861111,5.97,188419
"7474",19.65322222,5.397777778,5.17,124903
"7475",19.65705556,16.57138889,6.38,105104
"7476",19.67872222,-16.29333333,6.2,162883
"7477",19.63241667,49.28444444,6.47,48673
"7478",19.65627778,30.15333333,4.69,68637
"7479",19.66827778,18.01388889,4.37,105120
"7480",19.67869444,-0.621111111,5.67,143678
"7481",19.6625,33.97916667,6.1,68654
"7482",19.67452778,20.47666667,6.5,87542
"7483",19.65736111,42.81833333,5.4,48691
"7484",19.64477778,54.97388889,5.82,31850
"7485",19.67769444,23.7175,6.64,87551
"7486",19.68486111,13.81555556,6.01,105132
"7487",19.65955556,45.95805556,6.2,48697
"7488",19.68413889,17.47611111,4.37,105133
"7489",19.70863889,-16.12388889,5.06,162915
"7490",19.68747222,22.45277778,6.36,87569
"7491",19.72711111,-37.53888889,6.16,211506
"7492",19.67811111,43.07777778,6.16,48714
"7493",19.70355556,12.19333333,6.34,105156
"7494",19.93375,-81.34972222,6.39,258844
"7495",19.68061111,45.525,5.06,48718
"7496",19.72597222,-15.47,5.49,162931
"7497",19.70944444,11.82666667,5.27,105168
"7498",19.82369444,-72.50333333,5.41,257736
"7499",19.69930556,40.25388889,6.23,48737
"7500",19.67027778,60.50722222,6.51,18461
"7501",19.71363889,29.33166667,6.49,87612
"7502",19.71238889,32.42666667,5.94,68730
"7503",19.69691667,50.52527778,5.96,31898
"7504",19.69777778,50.5175,6.2,31899
"7505",19.71930556,30.67861111,6.05,68744
"7506",19.72858333,25.77194444,5.49,87633
"7507",19.767,-31.90861111,5.52,211541
"7508",19.73219444,27.13555556,6.28,87640
"7509",19.70113889,55.46333333,6.48,31906
"7510",19.80033333,-56.3625,5.35,246271
"7511",19.74280556,13.30277778,6.26,105199
"7512",19.73094444,34.1625,6.05,68764
"7513",19.83147222,-66.81277778,6.45,254658
"7514",19.72916667,41.77305556,5.84,48771
"7515",19.77269444,-19.76111111,4.86,162964
"7516",19.7645,-2.883333333,6.48,143776
"7517",19.73794444,37.35444444,4.89,68778
"7518",19.74686111,29.26472222,6.82,87659
"7519",19.76108333,7.613333333,5.91,125032
"7520",19.74394444,34.41388889,6.57,68783
"7521",19.81530556,-52.88805556,6.25,246277
"7522",19.72072222,58.01638889,6.22,31923
"7523",19.74694444,40.71666667,6.34,48789
"7524",19.85036111,-65.605,6.05,254669
"7525",19.771,10.61333333,2.72,105223
"7526",19.72766667,57.0425,6.27,31933
"7527",19.83936111,-61.06138889,6.21,254666
"7528",19.74958333,45.13083333,2.87,48796
"7529",19.761,36.09111111,6.43,68805
"7530",19.76427778,35.01277778,6.09,68810
"7531",19.84577778,-59.19305556,5.42,246293
"7532",19.80083333,-13.70333333,6.11,162998
"7533",19.77763889,25.13388889,6.62,87706
"7534",19.77377778,33.72777778,4.99,68827
"7535",19.77638889,32.88861111,6.18,68835
"7536",19.78980556,18.53416667,3.82,105259
"7537",19.83716667,-47.55722222,5.94,229887
"7538",19.81988889,-28.78888889,6.05,188603
"7539",NA,NA,NA,NA
"7540",19.79683333,25.38388889,5.95,87729
"7541",19.81727778,-10.87083333,6.04,163012
"7542",19.80844444,10.69416667,6.44,105278
"7543",19.79105556,38.4075,5.77,68859
"7544",19.81169444,11.81583333,5.72,105282
"7545",19.73847222,69.33694444,5.92,18508
"7546",19.81630556,19.14222222,5,105298
"7547",19.79077778,47.90777778,6.12,48842
"7548",19.87711111,-54.97111111,5.74,246311
"7549",19.8775,-54.97666667,6.5,246312
"7550",19.81219444,35.31138889,6.53,68893
"7551",19.81405556,33.43722222,6.44,68895
"7552",19.86405556,-39.87444444,5.33,229903
"7553",19.84633333,-10.76361111,5.39,163036
"7554",19.83819444,7.9025,6.51,125116
"7555",19.82430556,38.71,6.11,68909
"7556",19.83183333,28.44055556,6.38,87786
"7557",19.84638889,8.868333333,0.77,125122
"7558",19.91122222,-61.17083333,6.24,254683
"7559",19.85308333,-2.460833333,6.13,143853
"7560",19.85044444,10.41555556,5.11,105338
"7561",19.87,-19.045,5.92,163060
"7562",19.85491667,9.630277778,6.25,125139
"7563",19.77908333,68.43833333,6.34,18530
"7564",19.84275,32.91416667,4.23,68943
"7565",19.85113889,22.61,4.95,87813
"7566",19.84277778,38.7225,5.12,68947
"7567",19.84369444,40.59972222,5.69,48892
"7568",19.84638889,37.82638889,6.06,68953
"7569",19.86763889,11.62888889,6.13,105348
"7570",19.87455556,1.005555556,3.9,125159
"7571",19.88511111,-14.60305556,6.48,163080
"7572",19.871,10.35138889,6.54,105355
"7573",19.86711111,24.99222222,5.57,87840
"7574",19.87272222,18.67194444,6.23,105360
"7575",19.88852778,-3.114444444,5.65,143883
"7576",19.84380556,52.98805556,5.03,32042
"7577",19.85538889,47.37722222,6.2,48907
"7578",19.90491667,-23.94111111,6.18,188692
"7579",19.97813889,-69.16388889,5.75,254693
"7580",19.88961111,4.400555556,6.53,125182
"7581",19.92102778,-41.86833333,4.13,229927
"7582",19.80288889,70.26777778,3.83,9540
"7583",19.87119444,36.43222222,6.1,69004
"7584",19.90227778,-8.574166667,5.79,143894
"7585",19.91808333,-33.04638889,6.46,211653
"7586",19.94936111,-57.92555556,6.53,246348
"7587",19.95172222,-58.90138889,5.26,246349
"7588",19.98138889,-68.76222222,6.39,254696
"7589",19.86641667,47.0275,5.62,48917
"7590",20.00986111,-72.91055556,3.96,257757
"7591",19.86866667,47.93194444,5.91,48920
"7592",19.89102778,24.07972222,4.58,87883
"7593",19.91044444,-8.227222222,5.71,143898
"7594",19.91058333,-8.237222222,6.49,143899
"7595",19.90413889,8.461388889,4.71,125210
"7596",19.91244444,0.273611111,5.61,125219
"7597",19.93066667,-26.29944444,4.7,188722
"7598",19.91119444,7.140277778,6.15,125221
"7599",19.92211111,-6.734166667,6.51,143911
"7600",19.88366667,47.8075,6.29,48940
"7601",19.90863889,24.31944444,5.52,87908
"7602",19.92188889,6.406666667,3.71,125235
"7603",20.00638889,-66.94944444,5.76,254702
"7604",19.94911111,-27.17,4.52,188742
"7605",19.96147222,-38.05833333,6.55,211686
"7606",19.91341667,36.99611111,5.76,69072
"7607",19.91847222,30.19527778,6.57,69079
"7608",19.88816667,57.52361111,5.14,32085
"7609",19.93369444,16.63472222,5.36,105436
"7610",19.93730556,11.42388889,5.28,105438
"7611",19.89316667,59.70888889,6.06,32093
"7612",20.03122222,-66.94416667,5.31,254707
"7613",19.93102778,38.48666667,4.94,69101
"7614",19.96583333,-15.49138889,5.02,163141
"7615",19.93844444,35.08333333,3.89,69116
"7616",19.95005556,20.99805556,6.48,87963
"7617",19.98233333,-30.53805556,6.28,211708
"7618",19.98255556,-26.19555556,4.83,188778
"7619",19.92716667,52.43888889,4.92,32114
"7620",19.94561111,36.25083333,6.02,69129
"7621",20.00702778,-49.35111111,6.17,229973
